ICD10;Label;Rubrik
C39.9;Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Atmungssystems;preferredLong
C39.9;Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Atmungssystems;preferredLong
C40;Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten;
C40.0;Bösartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität;preferredLong
C40.0;Bösartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität;preferredLong
C40.1;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität;preferredLong
C40.1;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität;preferredLong
C40.2;Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität;preferredLong
C40.2;Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität;preferredLong
C40.3;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität;preferredLong
C40.3;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität;preferredLong
C40.8;Bösartige Neubildung: Knochen und Gelenkknorpel der Extremitäten, mehrere Teilbereiche überlappend;preferredLong
C40.8;Bösartige Neubildung: Knochen und Gelenkknorpel der Extremitäten, mehrere Teilbereiche überlappend;preferredLong
C40.9;Bösartige Neubildung: Knochen und Gelenkknorpel einer Extremität, nicht näher bezeichnet;preferredLong
C40.9;Bösartige Neubildung: Knochen und Gelenkknorpel einer Extremität, nicht näher bezeichnet;preferredLong
C41;Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen;
C41.0;Bösartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels;preferredLong
C41.0;Bösartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels;preferredLong
C41.01;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kraniofazial;preferredLong
C41.01;Bösartige Neubildung des Knochens und des Gelenkknorpels: Kraniofazial;preferredLong
C41.02;Bösartige Neubildung des Knochens und des Gelenkknorpels: Maxillofazial;preferredLong
C41.02;Bösartige Neubildung des Knochens und des Gelenkknorpels: Maxillofazial;preferredLong
C41.1;Bösartige Neubildung des Knochens und des Gelenkknorpels: Unterkieferknochen;preferredLong
C41.1;Bösartige Neubildung des Knochens und des Gelenkknorpels: Unterkieferknochen;preferredLong
C41.2;Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule;preferredLong
C41.2;Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule;preferredLong
C41.3;Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen, Sternum und Klavikula;preferredLong
C41.3;Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen, Sternum und Klavikula;preferredLong
C41.30;Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen;preferredLong
C41.30;Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen;preferredLong
C41.31;Bösartige Neubildung des Knochens und des Gelenkknorpels: Sternum;preferredLong
C41.31;Bösartige Neubildung des Knochens und des Gelenkknorpels: Sternum;preferredLong
C41.32;Bösartige Neubildung des Knochens und des Gelenkknorpels: Klavikula;preferredLong
C41.32;Bösartige Neubildung des Knochens und des Gelenkknorpels: Klavikula;preferredLong
C41.4;Bösartige Neubildung des Knochens und des Gelenkknorpels: Beckenknochen;preferredLong
C41.4;Bösartige Neubildung des Knochens und des Gelenkknorpels: Beckenknochen;preferredLong
C41.8;Bösartige Neubildung: Knochen und Gelenkknorpel, mehrere Teilbereiche überlappend;preferredLong
