ICD10;Label;Rubrik
C09.1;Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer);preferredLong
C09.8;Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend;preferredLong
C09.8;Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend;preferredLong
C09.9;Bösartige Neubildung: Tonsille, nicht näher bezeichnet;preferredLong
C09.9;Bösartige Neubildung: Tonsille, nicht näher bezeichnet;preferredLong
C10;Bösartige Neubildung des Oropharynx;
C10.0;Bösartige Neubildung: Vallecula epiglottica;preferredLong
C10.0;Bösartige Neubildung: Vallecula epiglottica;preferredLong
C10.1;Bösartige Neubildung: Vorderfläche der Epiglottis;preferredLong
C10.1;Bösartige Neubildung: Vorderfläche der Epiglottis;preferredLong
C10.2;Bösartige Neubildung: Seitenwand des Oropharynx;preferredLong
C10.2;Bösartige Neubildung: Seitenwand des Oropharynx;preferredLong
C10.3;Bösartige Neubildung: Hinterwand des Oropharynx;preferredLong
C10.3;Bösartige Neubildung: Hinterwand des Oropharynx;preferredLong
C10.4;Bösartige Neubildung: Kiemengang;preferredLong
C10.4;Bösartige Neubildung: Kiemengang;preferredLong
C10.8;Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend;preferredLong
C10.8;Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend;preferredLong
C10.9;Bösartige Neubildung: Oropharynx, nicht näher bezeichnet;preferredLong
C10.9;Bösartige Neubildung: Oropharynx, nicht näher bezeichnet;preferredLong
C11;Bösartige Neubildung des Nasopharynx;
C11.0;Bösartige Neubildung: Obere Wand des Nasopharynx;preferredLong
C11.0;Bösartige Neubildung: Obere Wand des Nasopharynx;preferredLong
C11.1;Bösartige Neubildung: Hinterwand des Nasopharynx;preferredLong
C11.1;Bösartige Neubildung: Hinterwand des Nasopharynx;preferredLong
C11.2;Bösartige Neubildung: Seitenwand des Nasopharynx;preferredLong
C11.2;Bösartige Neubildung: Seitenwand des Nasopharynx;preferredLong
C11.3;Bösartige Neubildung: Vorderwand des Nasopharynx;preferredLong
C11.3;Bösartige Neubildung: Vorderwand des Nasopharynx;preferredLong
C11.8;Bösartige Neubildung: Nasopharynx, mehrere Teilbereiche überlappend;preferredLong
C11.8;Bösartige Neubildung: Nasopharynx, mehrere Teilbereiche überlappend;preferredLong
C11.9;Bösartige Neubildung: Nasopharynx, nicht näher bezeichnet;preferredLong
C11.9;Bösartige Neubildung: Nasopharynx, nicht näher bezeichnet;preferredLong
C12;Bösartige Neubildung des Recessus piriformis;
C13;Bösartige Neubildung des Hypopharynx;
C13.0;Bösartige Neubildung: Regio postcricoidea;preferredLong
C13.0;Bösartige Neubildung: Regio postcricoidea;preferredLong
C13.1;Bösartige Neubildung: Aryepiglottische Falte, hypopharyngeale Seite;preferredLong
C13.1;Bösartige Neubildung: Aryepiglottische Falte, hypopharyngeale Seite;preferredLong
C13.2;Bösartige Neubildung: Hinterwand des Hypopharynx;preferredLong
C13.2;Bösartige Neubildung: Hinterwand des Hypopharynx;preferredLong
C13.8;Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche überlappend;preferredLong
C13.8;Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche überlappend;preferredLong
C13.9;Bösartige Neubildung: Hypopharynx, nicht näher bezeichnet;preferredLong
C13.9;Bösartige Neubildung: Hypopharynx, nicht näher bezeichnet;preferredLong
C14;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx;
C14.0;Bösartige Neubildung: Pharynx, nicht näher bezeichnet;preferredLong
C14.0;Bösartige Neubildung: Pharynx, nicht näher bezeichnet;preferredLong
C14.2;Bösartige Neubildung: Lymphatischer Rachenring [Waldeyer];preferredLong
C14.2;Bösartige Neubildung: Lymphatischer Rachenring [Waldeyer];preferredLong
C14.8;Bösartige Neubildung: Lippe, Mundhöhle und Pharynx, mehrere Teilbereiche überlappend;preferredLong
C14.8;Bösartige Neubildung: Lippe, Mundhöhle und Pharynx, mehrere Teilbereiche überlappend;preferredLong
C15;Bösartige Neubildung des Ösophagus;
C15.0;Bösartige Neubildung: Zervikaler Ösophagus;preferredLong
C15.0;Bösartige Neubildung: Zervikaler Ösophagus;preferredLong
C15.1;Bösartige Neubildung: Thorakaler Ösophagus;preferredLong
C15.1;Bösartige Neubildung: Thorakaler Ösophagus;preferredLong
C15.2;Bösartige Neubildung: Abdominaler Ösophagus;preferredLong
C15.2;Bösartige Neubildung: Abdominaler Ösophagus;preferredLong
C15.3;Bösartige Neubildung: Ösophagus, oberes Drittel;preferredLong
C15.3;Bösartige Neubildung: Ösophagus, oberes Drittel;preferredLong
C15.4;Bösartige Neubildung: Ösophagus, mittleres Drittel;preferredLong
C15.4;Bösartige Neubildung: Ösophagus, mittleres Drittel;preferredLong
C15.5;Bösartige Neubildung: Ösophagus, unteres Drittel;preferredLong
C15.5;Bösartige Neubildung: Ösophagus, unteres Drittel;preferredLong
C15.8;Bösartige Neubildung: Ösophagus, mehrere Teilbereiche überlappend;preferredLong
C15.8;Bösartige Neubildung: Ösophagus, mehrere Teilbereiche überlappend;preferredLong
C15.9;Bösartige Neubildung: Ösophagus, nicht näher bezeichnet;preferredLong
C15.9;Bösartige Neubildung: Ösophagus, nicht näher bezeichnet;preferredLong
C16;Bösartige Neubildung des Magens;
C16.0;Bösartige Neubildung: Kardia;preferredLong
C16.0;Bösartige Neubildung: Kardia;preferredLong
C16.1;Bösartige Neubildung: Fundus ventriculi;preferredLong
C16.1;Bösartige Neubildung: Fundus ventriculi;preferredLong
C16.2;Bösartige Neubildung: Corpus ventriculi;preferredLong
C16.2;Bösartige Neubildung: Corpus ventriculi;preferredLong
C16.3;Bösartige Neubildung: Antrum pyloricum;preferredLong
C16.3;Bösartige Neubildung: Antrum pyloricum;preferredLong
C16.4;Bösartige Neubildung: Pylorus;preferredLong
C16.4;Bösartige Neubildung: Pylorus;preferredLong
C16.5;Bösartige Neubildung: Kleine Kurvatur des Magens, nicht näher bezeichnet;preferredLong
C16.5;Bösartige Neubildung: Kleine Kurvatur des Magens, nicht näher bezeichnet;preferredLong
C16.6;Bösartige Neubildung: Große Kurvatur des Magens, nicht näher bezeichnet;preferredLong
C16.6;Bösartige Neubildung: Große Kurvatur des Magens, nicht näher bezeichnet;preferredLong
C16.8;Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend;preferredLong
C16.8;Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend;preferredLong
C16.9;Bösartige Neubildung: Magen, nicht näher bezeichnet;preferredLong
C16.9;Bösartige Neubildung: Magen, nicht näher bezeichnet;preferredLong
C17;Bösartige Neubildung des Dünndarmes;
C17.0;Bösartige Neubildung: Duodenum;preferredLong
C17.0;Bösartige Neubildung: Duodenum;preferredLong
C17.1;Bösartige Neubildung: Jejunum;preferredLong
C17.1;Bösartige Neubildung: Jejunum;preferredLong
C17.2;Bösartige Neubildung: Ileum;preferredLong
C17.2;Bösartige Neubildung: Ileum;preferredLong
C17.3;Bösartige Neubildung: Meckel-Divertikel;preferredLong
C17.3;Bösartige Neubildung: Meckel-Divertikel;preferredLong
C17.8;Bösartige Neubildung: Dünndarm, mehrere Teilbereiche überlappend;preferredLong
C17.8;Bösartige Neubildung: Dünndarm, mehrere Teilbereiche überlappend;preferredLong
C17.9;Bösartige Neubildung: Dünndarm, nicht näher bezeichnet;preferredLong
C17.9;Bösartige Neubildung: Dünndarm, nicht näher bezeichnet;preferredLong
C18;Bösartige Neubildung des Kolons;
C18.0;Bösartige Neubildung: Zäkum;preferredLong
C18.0;Bösartige Neubildung: Zäkum;preferredLong
C18.1;Bösartige Neubildung: Appendix vermiformis;preferredLong
C18.1;Bösartige Neubildung: Appendix vermiformis;preferredLong
C18.2;Bösartige Neubildung: Colon ascendens;preferredLong
C18.2;Bösartige Neubildung: Colon ascendens;preferredLong
C18.3;Bösartige Neubildung: Flexura coli dextra [hepatica];preferredLong
C18.3;Bösartige Neubildung: Flexura coli dextra [hepatica];preferredLong
C18.4;Bösartige Neubildung: Colon transversum;preferredLong
C18.4;Bösartige Neubildung: Colon transversum;preferredLong
C18.5;Bösartige Neubildung: Flexura coli sinistra [lienalis];preferredLong
C18.5;Bösartige Neubildung: Flexura coli sinistra [lienalis];preferredLong
C18.6;Bösartige Neubildung: Colon descendens;preferredLong
C18.6;Bösartige Neubildung: Colon descendens;preferredLong
C18.7;Bösartige Neubildung: Colon sigmoideum;preferredLong
C18.7;Bösartige Neubildung: Colon sigmoideum;preferredLong
C18.8;Bösartige Neubildung: Kolon, mehrere Teilbereiche überlappend;preferredLong
C18.8;Bösartige Neubildung: Kolon, mehrere Teilbereiche überlappend;preferredLong
C18.9;Bösartige Neubildung: Kolon, nicht näher bezeichnet;preferredLong
C18.9;Bösartige Neubildung: Kolon, nicht näher bezeichnet;preferredLong
C19;Bösartige Neubildung am Rektosigmoid, Übergang;
C20;Bösartige Neubildung des Rektums;
C21;Bösartige Neubildung des Anus und des Analkanals;
C21.0;Bösartige Neubildung: Anus, nicht näher bezeichnet;preferredLong
C21.0;Bösartige Neubildung: Anus, nicht näher bezeichnet;preferredLong
C21.1;Bösartige Neubildung: Analkanal;preferredLong
C21.1;Bösartige Neubildung: Analkanal;preferredLong
C21.2;Bösartige Neubildung: Kloakenregion;preferredLong
C21.2;Bösartige Neubildung: Kloakenregion;preferredLong
C21.8;Bösartige Neubildung: Rektum, Anus und Analkanal, mehrere Teilbereiche überlappend;preferredLong
C21.8;Bösartige Neubildung: Rektum, Anus und Analkanal, mehrere Teilbereiche überlappend;preferredLong
C22;Bösartige Neubildung der Leber und der intrahepatischen Gallengänge;
C22.0;Leberzellkarzinom;
C22.1;Intrahepatisches Gallengangskarzinom;
C22.2;Hepatoblastom;
C22.3;Angiosarkom der Leber;
C22.4;Sonstige Sarkome der Leber;
C22.7;Sonstige näher bezeichnete Karzinome der Leber;
C22.9;Bösartige Neubildung: Leber, nicht näher bezeichnet;preferredLong
C22.9;Bösartige Neubildung: Leber, nicht näher bezeichnet;preferredLong
C23;Bösartige Neubildung der Gallenblase;
