Alpha-ID;Label;ICD-10-Code;Tumordiagnose
I105731;Bösartige Neubildung der Außenseite der Oberlippe;C00.0;1
I25253;Bösartige Neubildung der äußeren Oberlippe;C00.0;1
I84913;Bösartige Neubildung der Lippenrotgrenze der Oberlippe;C00.0;1
I105730;Bösartige Neubildung der oberen Lippenrotgrenze;C00.0;1
I25255;Bösartige Neubildung der Oberlippe;C00.0;1
I84763;Bösartige Neubildung des Lippenrots der Oberlippe;C00.0;1
I105732;Bösartige Neubildung des oberen Lippenstiftbereiches;C00.0;1
I25251;Karzinom der äußeren Oberlippe;C00.0;1
I25254;Krebs der äußeren Oberlippe;C00.0;1
I25252;Oberlippenkarzinom;C00.0;1
I25250;Oberlippenkrebs;C00.0;1
I134291;Plattenepithelkarzinom der äußeren Oberlippe;C00.0;1
I105734;Bösartige Neubildung der Außenseite der Unterlippe;C00.1;1
I25260;Bösartige Neubildung der äußeren Unterlippe;C00.1;1
I84914;Bösartige Neubildung der Lippenrotgrenze der Unterlippe;C00.1;1
I105733;Bösartige Neubildung der unteren Lippenrotgrenze;C00.1;1
I25256;Bösartige Neubildung der Unterlippe;C00.1;1
I84765;Bösartige Neubildung des Lippenrots der Unterlippe;C00.1;1
I105735;Bösartige Neubildung des unteren Lippenstiftbereiches;C00.1;1
I25258;Karzinom der äußeren Unterlippe;C00.1;1
I25261;Krebs der äußeren Unterlippe;C00.1;1
I134292;Plattenepithelkarzinom der äußeren Unterlippe;C00.1;1
I26157;Plattenepithelkarzinom der Unterlippe;C00.1;1
I25259;Unterlippenkarzinom;C00.1;1
I25257;Unterlippenkrebs;C00.1;1
I105736;Bösartige Neubildung der Außenseite der Lippe;C00.2;1
I84747;Bösartige Neubildung der Lippenrotgrenze;C00.2;1
I25249;Bösartige Neubildung des Lippenrots;C00.2;1
I105737;Bösartige Neubildung des Lippenstiftbereiches;C00.2;1
I134293;Plattenepithelkarzinom der Außenseite der Lippe;C00.2;1
I25262;Bösartige Neubildung der Innenseite der Oberlippe;C00.3;1
I84767;Bösartige Neubildung der Mundhöhlenseite der Oberlippe;C00.3;1
I84748;Bösartige Neubildung der Oberlippenschleimhaut;C00.3;1
I84929;Bösartige Neubildung der Wangenseite der Oberlippe;C00.3;1
I84761;Bösartige Neubildung des Frenulums der Oberlippe;C00.3;1
I25264;Karzinom der inneren Oberlippe;C00.3;1
I25263;Krebs der inneren Oberlippe;C00.3;1
I134294;Plattenepithelkarzinom der Innenseite der Oberlippe;C00.3;1
I25265;Bösartige Neubildung der Innenseite der Unterlippe;C00.4;1
I84931;Bösartige Neubildung der Mundhöhlenseite der Unterlippe;C00.4;1
I84928;Bösartige Neubildung der Unterlippenschleimhaut;C00.4;1
I84932;Bösartige Neubildung der Wangenseite der Unterlippe;C00.4;1
I84933;Bösartige Neubildung des Frenulums der Unterlippe;C00.4;1
I25267;Karzinom der inneren Unterlippe;C00.4;1
I25266;Krebs der inneren Unterlippe;C00.4;1
I134295;Plattenepithelkarzinom der Innenseite der Unterlippe;C00.4;1
I105738;Bösartige Neubildung der Innenseite der Lippe;C00.5;1
I29845;Bösartige Neubildung der inneren Lippe;C00.5;1
I84683;Bösartige Neubildung der Lippenschleimhaut;C00.5;1
I84934;Bösartige Neubildung der Mundhöhlenseite einer Lippe;C00.5;1
I84912;Bösartige Neubildung der Wangenseite einer Lippe;C00.5;1
I84930;Bösartige Neubildung des Lippenfrenulums;C00.5;1
I29847;Karzinom der inneren Lippe;C00.5;1
I29846;Krebs der inneren Lippe;C00.5;1
I134296;Plattenepithelkarzinom der Innenseite der Lippe;C00.5;1
I105739;Bösartige Neubildung der Lippenkommissur;C00.6;1
I25268;Bösartige Neubildung des Mundwinkels;C00.6;1
I25270;Mundwinkelkarzinom;C00.6;1
I25269;Mundwinkelkrebs;C00.6;1
I134297;Plattenepithelkarzinom der Lippenkommissur;C00.6;1
I133728;Plattenepithelkarzinom der Lippe, mehrere Teilbereiche überlappend;C00.8;1
I18831;Bösartige Neubildung der Lippe;C00.9;1
I18830;Lippenkarzinom;C00.9;1
I18829;Lippenkrebs;C00.9;1
I129719;Plattenepithelkarzinom der Lippe;C00.9;1
I84935;Bösartige Neubildung der Dorsalfläche der Zungenbasis;C01;1
I25271;Bösartige Neubildung der Zungenwurzel;C01;1
I84769;Bösartige Neubildung des fixierten Zungenteils;C01;1
I84943;Bösartige Neubildung des hinteren Drittels der Zunge;C01;1
I101965;Bösartige Neubildung des hinteren Zungenteils;C01;1
I101964;Bösartige Neubildung des unbeweglichen Zungenteils;C01;1
I24894;Bösartige Neubildung des Zungengrundes;C01;1
I25274;Karzinom des fixierten Zungenteils;C01;1
I24893;Zungengrundkarzinom;C01;1
I24892;Zungengrundkrebs;C01;1
I25273;Zungenwurzelkarzinom;C01;1
I25272;Zungenwurzelkrebs;C01;1
I25283;Bösartige Neubildung der dorsalen Zunge;C02.0;1
I101967;Bösartige Neubildung der dorsalen Zungenoberfläche;C02.0;1
I85642;Bösartige Neubildung der vorderen zwei Drittel der Dorsalfläche der Zunge;C02.0;1
I102136;Bösartige Neubildung der Zungenmittellinie a.n.k.;C02.0;1
I25279;Bösartige Neubildung des Zungenrückens;C02.0;1
I25276;Dorsaler Zungenkrebs;C02.0;1
I25280;Dorsales Zungenkarzinom;C02.0;1
I25282;Oberflächliche bösartige Neubildung der dorsalen Zunge;C02.0;1
I25275;Oberflächlicher dorsaler Zungenkrebs;C02.0;1
I25278;Oberflächliches dorsales Zungenkarzinom;C02.0;1
I25281;Zungenrückenkarzinom;C02.0;1
I25277;Zungenrückenkrebs;C02.0;1
I25291;Bösartige Neubildung der Zungenspitze;C02.1;1
I29848;Bösartige Neubildung des Zungenrandes;C02.1;1
I29850;Bösartige Neubildung des Zungenrandes und der Zungenspitze;C02.1;1
I29851;Karzinom des Zungenrandes und der Zungenspitze;C02.1;1
I29852;Krebs des Zungenrandes und der Zungenspitze;C02.1;1
I29853;Zungenrandkarzinom;C02.1;1
I29849;Zungenrandkrebs;C02.1;1
I102034;Bösartige Neubildung der ventralen Zungenoberfläche;C02.2;1
I85643;Bösartige Neubildung der vorderen zwei Drittel der Ventralfläche der Zunge;C02.2;1
I25287;Bösartige Neubildung der Zungenunterfläche;C02.2;1
I84684;Bösartige Neubildung des Frenulum linguae;C02.2;1
I101966;Bösartige Neubildung des Zungenfrenulums;C02.2;1
I25288;Karzinom der ventralen Zunge;C02.2;1
I25290;Karzinom der Zungenunterfläche;C02.2;1
I25286;Krebs der Zungenunterfläche;C02.2;1
I25289;Oberflächliches Karzinom der ventralen Zunge;C02.2;1
I25284;Ventraler oberflächlicher Zungenkrebs;C02.2;1
I25285;Ventraler Zungenkrebs;C02.2;1
I29854;Bösartige Neubildung des beweglichen Zungenteils;C02.3;1
I84944;Bösartige Neubildung des mittleren Zungendrittels;C02.3;1
I102135;Bösartige Neubildung des vorderen Zungenteils a.n.k.;C02.3;1
I29856;Zungenkarzinom des beweglichen Zungenteils;C02.3;1
I29855;Zungenkrebs des beweglichen Zungenteils;C02.3;1
I104478;Bösartige Neubildung der Tonsilla lingualis;C02.4;1
I25298;Bösartige Neubildung der Zungenmandel;C02.4;1
I25294;Bösartige Neubildung der Zungentonsille;C02.4;1
I25292;Karzinom der Zungenmandel;C02.4;1
I25293;Karzinom der Zungentonsille;C02.4;1
I25300;Krebs der Zungentonsille;C02.4;1
I25299;Zungenmandelkrebs;C02.4;1
I102313;Bösartige Neubildung der Zunge an der Übergangszone;C02.8;1
I17123;Bösartige Neubildung der Zunge;C02.9;1
I105838;Linguale bösartige Neubildung a.n.k.;C02.9;1
I127980;Squamöses Karzinom der Zunge;C02.9;1
I17122;Zungenkarzinom;C02.9;1
I17124;Zungenkrebs;C02.9;1
I84942;Bösartige Neubildung der Oberkieferalveolarmukosa;C03.0;1
I101953;Bösartige Neubildung der Oberkieferalveolarschleimhaut;C03.0;1
I84770;Bösartige Neubildung der Oberkiefergingiva;C03.0;1
I106676;Bösartige Neubildung der Oberkieferweichteile;C03.0;1
I29860;Bösartige Neubildung des oberen Zahnfleisches;C03.0;1
I84773;Bösartige Neubildung des Oberkieferzahnfleisches;C03.0;1
I101954;Bösartige Neubildung einer Oberkieferalveole;C03.0;1
I29857;Karzinom des oberen Zahnfleisches;C03.0;1
I29861;Krebs des oberen Zahnfleisches;C03.0;1
I29859;Oberkieferalveolarfortsatzkarzinom;C03.0;1
I84946;Bösartige Neubildung der Unterkieferalveolarmukosa;C03.1;1
I102039;Bösartige Neubildung der Unterkieferalveolarschleimhaut;C03.1;1
I84772;Bösartige Neubildung der Unterkiefergingiva;C03.1;1
I106677;Bösartige Neubildung der Unterkieferweichteile;C03.1;1
I29868;Bösartige Neubildung des unteren Zahnfleisches;C03.1;1
I84771;Bösartige Neubildung des Unterkieferzahnfleisches;C03.1;1
I102040;Bösartige Neubildung einer Unterkieferalveole;C03.1;1
I104769;Karzinom der Unterkieferalveolarschleimhaut;C03.1;1
I29863;Karzinom des unteren Zahnfleisches;C03.1;1
I29862;Krebs des unteren Zahnfleisches;C03.1;1
I25321;Alveolarfortsatzkarzinom;C03.9;1
I84774;Bösartige Neubildung der Alveolarmukosa;C03.9;1
I101956;Bösartige Neubildung der Alveolarschleimhaut;C03.9;1
I84685;Bösartige Neubildung der Gingiva;C03.9;1
I106678;Bösartige Neubildung der Kieferweichteile;C03.9;1
I101957;Bösartige Neubildung des Kieferbindegewebes a.n.k.;C03.9;1
I105336;Bösartige Neubildung des periodontalen Gewebes a.n.k.;C03.9;1
I25320;Bösartige Neubildung des Zahnfleisches;C03.9;1
I101955;Bösartige Neubildung einer Zahnalveole;C03.9;1
I102109;Bösartige Neubildung eines Zahnfachs a.n.k.;C03.9;1
I105335;Parodontale bösartige Neubildung a.n.k.;C03.9;1
I25322;Zahnfleischkarzinom;C03.9;1
I25319;Zahnfleischkrebs;C03.9;1
I29869;Bösartige Neubildung des vorderen Teils des Mundbodens;C04.0;1
I29871;Karzinom des vorderen Teils des Mundbodens;C04.0;1
I29870;Krebs des vorderen Teils des Mundbodens;C04.0;1
I29872;Bösartige Neubildung des seitlichen Teils des Mundbodens;C04.1;1
I29874;Karzinom des seitlichen Teils des Mundbodens;C04.1;1
I29873;Krebs des seitlichen Teils des Mundbodens;C04.1;1
I25323;Bösartige Neubildung des Mundbodens;C04.9;1
I19300;Karzinom des Sulcus glossoalveolaris;C04.9;1
I19301;Mundbodenkarzinom;C04.9;1
I19299;Mundbodenkrebs;C04.9;1
I104479;Sublinguale bösartige Neubildung;C04.9;1
I25330;Bösartige Neubildung des harten Gaumens;C05.0;1
I25331;Karzinom des harten Gaumens;C05.0;1
I25332;Krebs des harten Gaumens;C05.0;1
I25333;Bösartige Neubildung des weichen Gaumens;C05.1;1
I25334;Karzinom des weichen Gaumens;C05.1;1
I25335;Krebs des weichen Gaumens;C05.1;1
I25336;Bösartige Neubildung der Uvula;C05.2;1
I25337;Uvulakarzinom;C05.2;1
I25338;Uvulakrebs;C05.2;1
I103467;Bösartige Neubildung des Überganges zwischen hartem und weichem Gaumen;C05.8;1
I29875;Bösartige Neubildung des Gaumens;C05.9;1
I106102;Bösartige Neubildung des Mundhöhlendaches;C05.9;1
I29876;Gaumenkarzinom;C05.9;1
I29877;Gaumenkrebs;C05.9;1
I102581;Bösartige Neubildung der bukkalen Schleimhaut;C06.0;1
I84947;Bösartige Neubildung der inneren Wange;C06.0;1
I104896;Bösartige Neubildung der Mundschleimhaut a.n.k.;C06.0;1
I101968;Bösartige Neubildung der Wangeninnenseite;C06.0;1
I25324;Bösartige Neubildung der Wangenschleimhaut;C06.0;1
I135499;Malignes Melanom der Mundschleimhaut;C06.0;1
I25326;Mundschleimhautkarzinom;C06.0;1
I25328;Mundschleimhautkrebs;C06.0;1
I25329;Plattenepithelkarzinom der Wangenschleimhaut;C06.0;1
I25325;Wangenschleimhautkarzinom;C06.0;1
I25327;Wangenschleimhautkrebs;C06.0;1
I84948;Bösartige Neubildung der Lippenumschlagsfalte;C06.1;1
I84949;Bösartige Neubildung der oberen Lippenumschlagsfalte;C06.1;1
I84950;Bösartige Neubildung der oberen Wangenumschlagsfalte;C06.1;1
I84953;Bösartige Neubildung der unteren Lippenumschlagsfalte;C06.1;1
I84954;Bösartige Neubildung der unteren Wangenumschlagsfalte;C06.1;1
I84955;Bösartige Neubildung der Wangenumschlagsfalte;C06.1;1
I102582;Bösartige Neubildung des bukkalen Sulkus;C06.1;1
I106826;Bösartige Neubildung des labialen Sulkus;C06.1;1
I104480;Bösartige Neubildung des Vestibulum oris;C06.1;1
I29879;Bösartige Neubildung des vorderen Teils des Mundes;C06.1;1
I29881;Karzinom des vorderen Teils des Mundes;C06.1;1
I29880;Krebs des vorderen Teils des Mundes;C06.1;1
I134504;Plattenepithelkarzinom des Vestibulum oris;C06.1;1
I29882;Bösartige Neubildung der Retromolarregion;C06.2;1
I29884;Karzinom der Retromolarregion;C06.2;1
I29883;Krebs der Retromolarregion;C06.2;1
I134505;Plattenepithelkarzinom der Retromolarregion;C06.2;1
I84686;Bösartige Neubildung der Mundhöhle;C06.9;1
I105245;Bösartige Neubildung der Nebenspeicheldrüsen a.n.k.;C06.9;1
I84956;Bösartige Neubildung kleiner Speicheldrüsen;C06.9;1
I102583;Bukkale bösartige Neubildung;C06.9;1
I111134;Karzinom der Mundhöhle;C06.9;1
I19304;Mundhöhlenkarzinom;C06.9;1
I29885;Mundkarzinom;C06.9;1
I29886;Mundkrebs;C06.9;1
I129717;Plattenepithelkarzinom der Mundhöhle;C06.9;1
I25304;Bösartige Neubildung der Ohrspeicheldrüse;C07;1
I25301;Bösartige Neubildung der Parotis;C07;1
I103059;Bösartige Neubildung des Ductus parotideus;C07;1
I104973;Bösartige Neubildung des Stensen-Ganges;C07;1
I111135;Karzinom der Glandula parotis;C07;1
I129033;Maligner epithelialer Tumor der Glandula parotis;C07;1
I25302;Ohrspeicheldrüsenkarzinom;C07;1
I25306;Ohrspeicheldrüsenkrebs;C07;1
I25303;Parotiskarzinom;C07;1
I25305;Parotiskrebs;C07;1
I25307;Bösartige Neubildung der Glandula submandibularis;C08.0;1
I84957;Bösartige Neubildung der Glandula submaxillaris;C08.0;1
I25310;Bösartige Neubildung der Unterkieferspeicheldrüse;C08.0;1
I103060;Bösartige Neubildung des Ductus submandibularis;C08.0;1
I101969;Bösartige Neubildung des Wharton-Ganges;C08.0;1
I25309;Karzinom der Glandula submandibularis;C08.0;1
I25311;Krebs der Glandula submandibularis;C08.0;1
I129034;Maligner epithelialer Tumor der Glandula submandibularis;C08.0;1
I25308;Unterkieferspeicheldrüsenkarzinom;C08.0;1
I25312;Unterkieferspeicheldrüsenkrebs;C08.0;1
I25313;Bösartige Neubildung der Glandula sublingualis;C08.1;1
I25316;Bösartige Neubildung der Unterzungendrüse;C08.1;1
I104974;Bösartige Neubildung der Unterzungenspeicheldrüse;C08.1;1
I103058;Bösartige Neubildung des Ductus sublingualis;C08.1;1
I25315;Karzinom der Glandula sublingualis;C08.1;1
I25317;Krebs der Glandula sublingualis;C08.1;1
I129035;Maligner epithelialer Tumor der Glandula sublingualis;C08.1;1
I25314;Unterzungendrüsenkarzinom;C08.1;1
I25318;Unterzungendrüsenkrebs;C08.1;1
I67275;Basalzelladenokarzinom;C08.9;1
I29887;Bösartige Neubildung einer Speicheldrüse;C08.9;1
I84958;Bösartige Neubildung großer Speicheldrüsen;C08.9;1
I20860;Speicheldrüsenkarzinom;C08.9;1
I20861;Speicheldrüsenkrebs;C08.9;1
I29888;Bösartige Neubildung der Fossa tonsillaris;C09.0;1
I103443;Bösartige Neubildung des glossopharyngealen Sulkus;C09.0;1
I29890;Karzinom der Fossa tonsillaris;C09.0;1
I98247;Karzinom des Sulcus glossopharyngeus;C09.0;1
I29889;Krebs der Fossa tonsillaris;C09.0;1
I104481;Bösartige Neubildung der Gaumenbogentonsillen;C09.1;1
I101958;Bösartige Neubildung des Arcus palatoglossus;C09.1;1
I101959;Bösartige Neubildung des Arcus palatopharyngeus;C09.1;1
I25382;Bösartige Neubildung des Gaumenbogens;C09.1;1
I25384;Gaumenbogenkarzinom;C09.1;1
I25383;Gaumenbogenkrebs;C09.1;1
I98246;Karzinom des Sulcus glossopalatinus;C09.1;1
I109999;Angiosarkom der Tonsillen;C09.9;1
I104482;Bösartige Neubildung der Fauces;C09.9;1
I104897;Bösartige Neubildung der Gaumenmandel;C09.9;1
I84902;Bösartige Neubildung der Gaumentonsille;C09.9;1
I84959;Bösartige Neubildung der Schlundtonsille;C09.9;1
I104483;Bösartige Neubildung der Tonsilla palatina;C09.9;1
I25381;Bösartige Neubildung der Tonsillen;C09.9;1
I21163;Tonsillenkarzinom;C09.9;1
I21162;Tonsillenkrebs;C09.9;1
I29892;Bösartige Neubildung der Vallecula epiglottica;C10.0;1
I29894;Karzinom der Vallecula epiglottica;C10.0;1
I29893;Krebs der Vallecula epiglottica;C10.0;1
I134507;Plattenepithelkarzinom der Vallecula epiglottica;C10.0;1
I103336;Bösartige Neubildung der Epiglottisoberfläche;C10.1;1
I103335;Bösartige Neubildung der Epiglottisvorderfläche;C10.1;1
I84960;Bösartige Neubildung der Plica glossoepiglottica;C10.1;1
I85644;Bösartige Neubildung des freien Randes der Epiglottis;C10.1;1
I29895;Bösartige Neubildung des vorderen Kehldeckels;C10.1;1
I29897;Karzinom des vorderen Kehldeckels;C10.1;1
I29896;Krebs des vorderen Kehldeckels;C10.1;1
I134508;Plattenepithelkarzinom der Epiglottisvorderfläche;C10.1;1
I105337;Bösartige Neubildung der Seitenwand des Oropharynx;C10.2;1
I29899;Bösartige Neubildung des seitlichen Rachenrings;C10.2;1
I29898;Karzinom der seitlichen Wand des Rachenrings;C10.2;1
I29900;Krebs des seitlichen Rachenrings;C10.2;1
I134509;Plattenepithelkarzinom der Seitenwand des Oropharynx;C10.2;1
I105338;Bösartige Neubildung der Hinterwand des Oropharynx;C10.3;1
I29901;Bösartige Neubildung des hinteren Rachenrings;C10.3;1
I29903;Karzinom des hinteren Rachenrings;C10.3;1
I29902;Krebs des hinteren Rachenrings;C10.3;1
I134510;Plattenepithelkarzinom der Hinterwand des Oropharynx;C10.3;1
I106101;Bösartige Neubildung der Kiemenspalte;C10.4;1
I84903;Bösartige Neubildung einer branchiogenen Zyste;C10.4;1
I74413;Branchiales Karzinom;C10.4;1
I74412;Branchiogenes Karzinom;C10.4;1
I134512;Plattenepithelkarzinom einer branchiogenen Zyste;C10.4;1
I84962;Bösartige Neubildung der Übergangsregion des Oropharynx;C10.8;1
I29904;Bösartige Neubildung der Verbindungszone des Rachenrings;C10.8;1
I29906;Karzinom der Verbindungszone [Übergangsregion] des Rachenrings;C10.8;1
I29905;Krebs der Verbindungszone des Rachenrings;C10.8;1
I134513;Plattenepithelkarzinom des Oropharynx, mehrere Teilbereiche überlappend;C10.8;1
I105339;Bösartige Neubildung des Oropharynx;C10.9;1
I29891;Bösartige Neubildung des Rachenrings;C10.9;1
I19809;Mesopharynxkarzinom;C10.9;1
I19807;Oropharynxkarzinom;C10.9;1
I129715;Plattenepithelkarzinom des Oropharynx;C10.9;1
I19808;Rachenringkarzinom;C10.9;1
I19812;Rachenringkrebs;C10.9;1
I106104;Bösartige Neubildung der oberen Wand des Nasenrachenraums;C11.0;1
I106103;Bösartige Neubildung des Daches des Nasenrachenraums;C11.0;1
I84966;Bösartige Neubildung des Nasopharynxdaches;C11.0;1
I29910;Bösartige Neubildung des oberen Nasenrachenraums;C11.0;1
I29912;Karzinom des oberen Nasenrachenraums;C11.0;1
I29911;Krebs des oberen Nasenrachenraums;C11.0;1
I134302;Malignes Teratom der oberen Wand des Nasopharynx;C11.0;1
I84687;Bösartige Neubildung der Adenoide;C11.1;1
I106105;Bösartige Neubildung der hinteren Wand des Nasenrachenraums;C11.1;1
I105378;Bösartige Neubildung der Pharynxtonsille;C11.1;1
I104898;Bösartige Neubildung der Rachenmandel;C11.1;1
I84967;Bösartige Neubildung der Rachentonsille;C11.1;1
I104484;Bösartige Neubildung der Tonsilla pharyngea;C11.1;1
I29915;Bösartige Neubildung des hinteren Nasenrachenraums;C11.1;1
I29914;Karzinom der Adenoide;C11.1;1
I29917;Karzinom des hinteren Nasenrachenraums;C11.1;1
I29916;Krebs des hinteren Nasenrachenraums;C11.1;1
I134303;Malignes Teratom der Hinterwand des Nasopharynx;C11.1;1
I29913;Rachenmandelkarzinom;C11.1;1
I84968;Bösartige Neubildung der Rosenmüller-Grube;C11.2;1
I106106;Bösartige Neubildung der seitlichen Wand des Nasenrachenraums;C11.2;1
I104485;Bösartige Neubildung des Ostium pharyngeum der Tuba auditiva;C11.2;1
I105379;Bösartige Neubildung des pharyngealen Recessus;C11.2;1
I84969;Bösartige Neubildung des pharyngealen Tubenostiums;C11.2;1
I84970;Bösartige Neubildung des Recessus pharyngeus;C11.2;1
I29918;Bösartige Neubildung des seitlichen Nasenrachenraums;C11.2;1
I29920;Karzinom des seitlichen Nasenrachenraums;C11.2;1
I29919;Krebs des seitlichen Nasenrachenraums;C11.2;1
I134304;Malignes Teratom der Seitenwand des Nasopharynx;C11.2;1
I85645;Bösartige Neubildung der anterioren nasopharyngealen Fläche des weichen Gaumens;C11.3;1
I102584;Bösartige Neubildung der Choane;C11.3;1
I85646;Bösartige Neubildung der nasopharyngealen Fläche des weichen Gaumens;C11.3;1
I105380;Bösartige Neubildung der pharyngealen Fornix;C11.3;1
I85647;Bösartige Neubildung der posterioren nasopharyngealen Fläche des weichen Gaumens;C11.3;1
I106109;Bösartige Neubildung der vorderen Wand des Nasenrachenraums;C11.3;1
I106108;Bösartige Neubildung des Bodens des Nasenrachenraums;C11.3;1
I84904;Bösartige Neubildung des Choanenhinterrandes;C11.3;1
I103337;Bösartige Neubildung des Daches des weichen Gaumens;C11.3;1
I103062;Bösartige Neubildung des Fornix pharyngis;C11.3;1
I106107;Bösartige Neubildung des hinteren Randes des Nasenseptums;C11.3;1
I85648;Bösartige Neubildung des Nasenseptumhinterrandes;C11.3;1
I84688;Bösartige Neubildung des Nasopharynxbodens;C11.3;1
I29921;Bösartige Neubildung des vorderen Nasenrachenraums;C11.3;1
I29923;Karzinom des vorderen Nasenrachenraums;C11.3;1
I29922;Krebs des vorderen Nasenrachenraums;C11.3;1
I134305;Malignes Teratom der Vorderwand des Nasopharynx;C11.3;1
I134306;Malignes Nasopharynxteratom, mehrere Teilbereiche überlappend;C11.8;1
I134266;Nasopharynxkarzinom, mehrere Teilbereiche überlappend;C11.8;1
I84690;Bösartige Neubildung der Nasopharynxwand;C11.9;1
I106111;Bösartige Neubildung der Wand des Nasenrachenraums;C11.9;1
I106110;Bösartige Neubildung des Nasenrachenraums;C11.9;1
I106112;Bösartige Neubildung des Nasopharynx;C11.9;1
I17511;Karzinom des Epipharynx;C11.9;1
I134299;Malignes Nasopharynxteratom;C11.9;1
I29908;Nasenrachenraumkarzinom;C11.9;1
I29909;Nasenrachenraumkrebs;C11.9;1
I29907;Nasopharynxkarzinom;C11.9;1
I74653;Schmincke-Karzinom;C11.9;1
I78085;Schmincke-Tumor;C11.9;1
I84689;Bösartige Neubildung der Fossa piriformis;C12;1
I25385;Bösartige Neubildung des Recessus piriformis;C12;1
I104899;Bösartige Neubildung des Sinus piriformis;C12;1
I25387;Karzinom des Recessus piriformis;C12;1
I111136;Karzinom des Sinus piriformis;C12;1
I25386;Krebs des Recessus piriformis;C12;1
I131595;Plattenepithelkarzinom des Recessus piriformis;C12;1
I131596;Plattenepithelkarzinom des Sinus piriformis;C12;1
I104900;Bösartige Neubildung der Regio postcricoidea;C13.0;1
I106708;Bösartige Neubildung des Krikopharynx;C13.0;1
I25388;Bösartige Neubildung des postkrikoidalen Hypopharynx;C13.0;1
I25390;Karzinom des postkrikoidalen Hypopharynx;C13.0;1
I25389;Krebs des postkrikoidalen Hypopharynx;C13.0;1
I134514;Plattenepithelkarzinom des postkrikoidalen Hypopharynx;C13.0;1
I84905;Bösartige Neubildung der aryepiglottischen Falte;C13.1;1
I85649;Bösartige Neubildung der hypopharyngealen Seite der aryepiglottischen Falte;C13.1;1
I105553;Bösartige Neubildung der hypopharyngealen Seite der Plica aryepiglottica;C13.1;1
I29924;Bösartige Neubildung der Plica aryepiglottica;C13.1;1
I85650;Bösartige Neubildung der Randzone der aryepiglottischen Falte;C13.1;1
I105341;Bösartige Neubildung der Randzone der Plica aryepiglottica;C13.1;1
I29926;Karzinom der Plica aryepiglottica;C13.1;1
I29925;Krebs der Plica aryepiglottica;C13.1;1
I134519;Plattenepithelkarzinom der aryepiglottischen Falte;C13.1;1
I107094;Bösartige Neubildung der hinteren Wand des Hypopharynx;C13.2;1
I134516;Plattenepithelkarzinom der hinteren Wand des Hypopharynx;C13.2;1
I134241;Plattenepithelkarzinom des Hypopharynx, mehrere Teilbereiche überlappend;C13.8;1
I84906;Bösartige Neubildung der Hypopharynxwand;C13.9;1
I25391;Bösartige Neubildung des Hypopharynx;C13.9;1
I106709;Bösartige Neubildung des Laryngopharynx;C13.9;1
I18367;Karzinom des Hypopharynx;C13.9;1
I18366;Krebs des Hypopharynx;C13.9;1
I129673;Plattenepithelkarzinom des Hypopharynx;C13.9;1
I29927;Bösartige Neubildung der hinteren Rachenwand;C14.0;1
I105340;Bösartige Neubildung der Pharynxwand;C14.0;1
I84691;Bösartige Neubildung des Pharynx;C14.0;1
I29930;Bösartige Neubildung des Rachens;C14.0;1
I29929;Karzinom der hinteren Rachenwand;C14.0;1
I29928;Krebs der hinteren Rachenwand;C14.0;1
I20108;Pharynxkarzinom;C14.0;1
I20106;Rachenkarzinom;C14.0;1
I20107;Rachenkrebs;C14.0;1
I104901;Retropharyngeale bösartige Neubildung;C14.0;1
I25392;Bösartige Neubildung des Waldeyer-Rachenrings;C14.2;1
I25394;Karzinom des Waldeyer-Rachenrings;C14.2;1
I25393;Krebs des Waldeyer-Rachenrings;C14.2;1
I29931;Bösartige Neubildung des Mundrachenraums;C14.8;1
I29933;Karzinom des Mundrachenraums;C14.8;1
I29932;Krebs des Mundrachenraums;C14.8;1
I105554;Bösartige Neubildung der Pars cervicalis des Ösophagus;C15.0;1
I25397;Bösartige Neubildung des zervikalen Ösophagus;C15.0;1
I134831;Gastrointestinaler Stromatumor des zervikalen Ösophagus;C15.0;1
I134841;GIST [Gastrointestinaler Stromatumor] des zervikalen Ösophagus;C15.0;1
I134521;Neuroendokrine Neoplasie des zervikalen Ösophagus;C15.0;1
I133617;Plattenepithelkarzinom des zervikalen Ösophagus;C15.0;1
I30821;Zervikales Ösophaguskarzinom;C15.0;1
I134537;Zervikales Ösophaguskarzinom vom Speicheldrüsentyp;C15.0;1
I134538;Zervikales undifferenziertes Ösophaguskarzinom;C15.0;1
I105555;Bösartige Neubildung der Pars thoracica des Ösophagus;C15.1;1
I25398;Bösartige Neubildung des thorakalen Ösophagus;C15.1;1
I134834;Gastrointestinaler Stromatumor des thorakalen Ösophagus;C15.1;1
I134842;GIST [Gastrointestinaler Stromatumor] des thorakalen Ösophagus;C15.1;1
I134522;Neuroendokrine Neoplasie des thorakalen Ösophagus;C15.1;1
I133618;Plattenepithelkarzinom des thorakalen Ösophagus;C15.1;1
I30822;Thorakales Ösophaguskarzinom;C15.1;1
I134540;Thorakales Ösophaguskarzinom vom Speicheldrüsentyp;C15.1;1
I134541;Thorakales undifferenziertes Ösophaguskarzinom;C15.1;1
I30823;Abdominales Ösophaguskarzinom;C15.2;1
I134543;Abdominales Ösophaguskarzinom vom Speicheldrüsentyp;C15.2;1
I134544;Abdominales undifferenziertes Ösophaguskarzinom;C15.2;1
I133619;Adenokarzinom des abdominalen Ösophagus;C15.2;1
I105556;Bösartige Neubildung der Pars abdominalis des Ösophagus;C15.2;1
