Version	Topographie	Topographie Text	Morphologiecodes	Dignität	Default	ICD10	ICD-10 Text
ICD-O-3.2 2019	C53\.9	Cervix uteri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C53.9	Bösartige Neubildung: Cervix uteri, nicht näher bezeichnet
ICD-O-3.2 2019	C54\.0	Isthmus uteri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.0	Bösartige Neubildung: Isthmus uteri
ICD-O-3.2 2019	C54\.1	Endometrium	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.1	Bösartige Neubildung: Endometrium
ICD-O-3.2 2019	C54\.2	Myometrium	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.2	Bösartige Neubildung: Myometrium
ICD-O-3.2 2019	C54\.3	Fundus uteri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.3	Bösartige Neubildung: Fundus uteri
ICD-O-3.2 2019	C54\.8	Corpus uteri, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.8	Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C54\.9	Corpus uteri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C54.9	Bösartige Neubildung: Corpus uteri, nicht näher bezeichnet
ICD-O-3.2 2019	C55\.9	Uterus o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C55	Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet
ICD-O-3.2 2019	C56\.9	Ovar	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C56	Bösartige Neubildung des Ovars
ICD-O-3.2 2019	C57\.0	Eileiter	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.0	Bösartige Neubildung: Tuba uterina [Falloppio]
ICD-O-3.2 2019	C57\.1	Ligamentum latum uteri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.1	Bösartige Neubildung: Lig. latum uteri
ICD-O-3.2 2019	C57\.2	Ligamentum rotundum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.2	Bösartige Neubildung: Lig. teres uteri
ICD-O-3.2 2019	C57\.3	Parametrium	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.3	Bösartige Neubildung: Parametrium
ICD-O-3.2 2019	C57\.4	Weibliche Adnexe	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.4	Bösartige Neubildung: Uterine Adnexe, nicht näher bezeichnet
ICD-O-3.2 2019	C57\.7	Sonstige näher bezeichnete Teile der weiblichen Geschlechtsorgane	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.7	Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane
ICD-O-3.2 2019	C57\.8	Weibliche Geschlechtsorgane, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.8	Bösartige Neubildung: Weibliche Genitalorgane, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C57\.9	Weibliche Geschlechtsorgane o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C57.9	Bösartige Neubildung: Weibliches Genitalorgan, nicht näher bezeichnet
ICD-O-3.2 2019	C58\.9	Plazenta	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C58	Bösartige Neubildung der Plazenta
ICD-O-3.2 2019	C60\.0	Präputium	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C60.0	Bösartige Neubildung: Praeputium penis
ICD-O-3.2 2019	C60\.1	Glans penis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C60.1	Bösartige Neubildung: Glans penis
ICD-O-3.2 2019	C60\.2	Penisschaft	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C60.2	Bösartige Neubildung: Penisschaft
ICD-O-3.2 2019	C60\.8	Penis, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C60.8	Bösartige Neubildung: Penis, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C60\.9	Penis o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C60.9	Bösartige Neubildung: Penis, nicht näher bezeichnet
ICD-O-3.2 2019	C61\.9	Prostata	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C61	Bösartige Neubildung der Prostata
ICD-O-3.2 2019	C62\.0	Kryptorchider Hoden	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C62.0	Bösartige Neubildung: Dystoper Hoden
ICD-O-3.2 2019	C62\.1	Deszendierter Hoden	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C62.1	Bösartige Neubildung: Deszendierter Hoden
ICD-O-3.2 2019	C62\.9	Testis o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C62.9	Bösartige Neubildung: Hoden, nicht näher bezeichnet
ICD-O-3.2 2019	C63\.0	Nebenhoden	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.0	Bösartige Neubildung: Nebenhoden [Epididymis]
ICD-O-3.2 2019	C63\.1	Samenstrang	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.1	Bösartige Neubildung: Samenstrang
ICD-O-3.2 2019	C63\.2	Skrotum o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.2	Bösartige Neubildung: Skrotum
ICD-O-3.2 2019	C63\.7	Sonstige näher bezeichnete Teile der männlichen Geschlechtsorgane	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.7	Bösartige Neubildung: Sonstige näher bezeichnete männliche Genitalorgane
ICD-O-3.2 2019	C63\.8	Männliche Geschlechtsorgane, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.8	Bösartige Neubildung: Männliche Genitalorgane, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C63\.9	Männliche Geschlechtsorgane o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C63.9	Bösartige Neubildung: Männliches Genitalorgan, nicht näher bezeichnet
ICD-O-3.2 2019	C64\.9	Niere o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C64	Bösartige Neubildung der Niere, ausgenommen Nierenbecken
ICD-O-3.2 2019	C65\.9	Nierenbecken	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C65	Bösartige Neubildung des Nierenbeckens
ICD-O-3.2 2019	C66\.9	Ureter	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C66	Bösartige Neubildung des Ureters
ICD-O-3.2 2019	C67\.0	Trigonum vesicae	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.0	Bösartige Neubildung: Trigonum vesicae
ICD-O-3.2 2019	C67\.1	Blasendach	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.1	Bösartige Neubildung: Apex vesicae
ICD-O-3.2 2019	C67\.2	Laterale Harnblasenwand	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.2	Bösartige Neubildung: Laterale Harnblasenwand
ICD-O-3.2 2019	C67\.3	Vordere Harnblasenwand	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.3	Bösartige Neubildung: Vordere Harnblasenwand
ICD-O-3.2 2019	C67\.4	Hintere Harnblasenwand	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.4	Bösartige Neubildung: Hintere Harnblasenwand
ICD-O-3.2 2019	C67\.5	Harnblasenhals	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.5	Bösartige Neubildung: Harnblasenhals
ICD-O-3.2 2019	C67\.6	Ostium ureteris	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.6	Bösartige Neubildung: Ostium ureteris
ICD-O-3.2 2019	C67\.7	Urachus	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.7	Bösartige Neubildung: Urachus
ICD-O-3.2 2019	C67\.8	Harnblase, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.8	Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C67\.9	Blase o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C67.9	Bösartige Neubildung: Harnblase, nicht näher bezeichnet
ICD-O-3.2 2019	C68\.0	Urethra	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C68.0	Bösartige Neubildung: Urethra
ICD-O-3.2 2019	C68\.1	Paraurethrale Drüse	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C68.1	Bösartige Neubildung: Paraurethrale Drüse
ICD-O-3.2 2019	C68\.8	Harntrakt, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C68.8	Bösartige Neubildung: Harnorgane, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C68\.9	Harntrakt o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C68.9	Bösartige Neubildung: Harnorgan, nicht näher bezeichnet
ICD-O-3.2 2019	C69\.0	Konjunktiva	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.0	Bösartige Neubildung: Konjunktiva
ICD-O-3.2 2019	C69\.1	Kornea o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.1	Bösartige Neubildung: Kornea
ICD-O-3.2 2019	C69\.2	Retina	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.2	Bösartige Neubildung: Retina
ICD-O-3.2 2019	C69\.3	Chorioidea	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.3	Bösartige Neubildung: Chorioidea
ICD-O-3.2 2019	C69\.4	Bulbus oculi	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.4	Bösartige Neubildung: Ziliarkörper
ICD-O-3.2 2019	C69\.5	Tränendrüse	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.5	Bösartige Neubildung: Tränendrüse und Tränenwege
ICD-O-3.2 2019	C69\.6	Orbita o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.6	Bösartige Neubildung: Orbita
ICD-O-3.2 2019	C69\.8	Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.8	Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C69\.9	Auge o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C69.9	Bösartige Neubildung: Auge, nicht näher bezeichnet
ICD-O-3.2 2019	C70\.0	Hirnhäute	8000, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C70.0	Bösartige Neubildung: Hirnhäute
ICD-O-3.2 2019	C70\.1	Rückenmarkhäute	8000, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C70.1	Bösartige Neubildung: Rückenmarkhäute
ICD-O-3.2 2019	C70\.9	Meningen o.n.A.	8000, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C70.9	Bösartige Neubildung: Meningen, nicht näher bezeichnet
ICD-O-3.2 2019	C71\.0	Cerebrum	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.0	Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel
ICD-O-3.2 2019	C71\.1	Frontallappen	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.1	Bösartige Neubildung: Frontallappen
ICD-O-3.2 2019	C71\.2	Temporallappen	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.2	Bösartige Neubildung: Temporallappen
ICD-O-3.2 2019	C71\.3	Parietallappen	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.3	Bösartige Neubildung: Parietallappen
ICD-O-3.2 2019	C71\.4	Okzipitallappen	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.4	Bösartige Neubildung: Okzipitallappen
ICD-O-3.2 2019	C71\.5	Ventrikel o.n.A.	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.5	Bösartige Neubildung: Hirnventrikel
ICD-O-3.2 2019	C71\.6	Kleinhirn o.n.A.	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.6	Bösartige Neubildung: Zerebellum
ICD-O-3.2 2019	C71\.7	Hirnstamm	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.7	Bösartige Neubildung: Hirnstamm
ICD-O-3.2 2019	C71\.8	Gehirn, mehrere Teilbereiche überlappend	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.8	Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C71\.9	Gehirn o.n.A.	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C71.9	Bösartige Neubildung: Gehirn, nicht näher bezeichnet
ICD-O-3.2 2019	C72\.0	Rückenmark	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.0	Bösartige Neubildung: Rückenmark
ICD-O-3.2 2019	C72\.1	Cauda equina	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.1	Bösartige Neubildung: Cauda equina
ICD-O-3.2 2019	C72\.2	N. olfactorius	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.2	Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv]
ICD-O-3.2 2019	C72\.3	N. opticus	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.3	Bösartige Neubildung: N. opticus [II. Hirnnerv]
ICD-O-3.2 2019	C72\.4	N. acusticus	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.4	Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv]
ICD-O-3.2 2019	C72\.5	Hirnnerven o.n.A.	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.5	Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven
ICD-O-3.2 2019	C72\.8	Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.8	Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C72\.9	Nervensystem	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C72.9	Bösartige Neubildung: Zentralnervensystem, nicht näher bezeichnet
ICD-O-3.2 2019	C73\.9	Schilddrüse	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C73	Bösartige Neubildung der Schilddrüse
ICD-O-3.2 2019	C74\.0	Nebennierenrinde	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C74.0	Bösartige Neubildung: Nebennierenrinde
ICD-O-3.2 2019	C74\.1	Nebennierenmark	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C74.1	Bösartige Neubildung: Nebennierenmark
ICD-O-3.2 2019	C74\.9	Nebenniere o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C74.9	Bösartige Neubildung: Nebenniere, nicht näher bezeichnet
ICD-O-3.2 2019	C75\.0	Nebenschilddrüse	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.0	Bösartige Neubildung: Nebenschilddrüse
ICD-O-3.2 2019	C75\.1	Hirnanhangsdrüse	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.1	Bösartige Neubildung: Hypophyse
ICD-O-3.2 2019	C75\.2	Ductus craniopharyngealis	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.2	Bösartige Neubildung: Ductus craniopharyngealis
ICD-O-3.2 2019	C75\.3	Glandula pinealis	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.3	Bösartige Neubildung: Epiphyse [Glandula pinealis] [Zirbeldrüse]
ICD-O-3.2 2019	C75\.4	Glomus caroticum	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.4	Bösartige Neubildung: Glomus caroticum
ICD-O-3.2 2019	C75\.5	Glomus aorticum und sonstige Paraganglien	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.5	Bösartige Neubildung: Glomus aorticum und sonstige Paraganglien
ICD-O-3.2 2019	C75\.8	Endokrine Drüsen und verwandte Strukturen, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.8	Bösartige Neubildung: Beteiligung mehrerer endokriner Drüsen, nicht näher bezeichnet
ICD-O-3.2 2019	C75\.9	Endokrine Drüse o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589	/3	1	C75.9	Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet
ICD-O-3.2 2019	C76\.0	Kopf, Gesicht oder Hals o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.0	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals
ICD-O-3.2 2019	C76\.1	Thorax o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.1	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Thorax
ICD-O-3.2 2019	C76\.2	Abdomen o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.2	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Abdomen
ICD-O-3.2 2019	C76\.3	Becken o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.3	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken
ICD-O-3.2 2019	C76\.4	Obere Extremität o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.4	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität
ICD-O-3.2 2019	C76\.5	Untere Extremität o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.5	Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität
ICD-O-3.2 2019	C76\.7	Sonstiger mangelhaft bezeichneter Sitz	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.7	Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen
ICD-O-3.2 2019	C76\.8	Mangelhaft bezeichneter Sitz, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C76.8	Bösartige Neubildung: Sonstige und ungenau bezeichnete Lokalisationen, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C80\.9	Unbekannte Primärlokalisation	8000-8719, 8800-9045, 9060-9139, 9150-9589	/6	1	C80.0	Bösartige Neubildung, primäre Lokalisation unbekannt, so bezeichnet
ICD-O-3.2 2019	C\d\d\.\d	Jede (Metastasen-)Lokalisation	8000-9589	/9	1	C80.9	Bösartige Neubildung, nicht näher bezeichnet
ICD-O-3.2 2019	C(?!80\.9)\d\d\.\d	Jede (Metastasen-)Lokalisation	8000-9589	/6	1	C80.9	Bösartige Neubildung, nicht näher bezeichnet
ICD-O-3.2 2019	C80\.9	Unbekannte Primärlokalisation	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C80.9	Bösartige Neubildung, nicht näher bezeichnet
ICD-O-3.2 2019	C00\.0	Äußere Oberlippe	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.1	Äußere Unterlippe	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.2	Äußere Lippe o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.3	Schleimhaut der Oberlippe	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.4	Schleimhaut der Unterlippe	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.5	Lippenschleimhaut o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.6	Lippenkommissur	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.8	Lippe, mehrere Teilbereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C00\.9	Lippe o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C01\.9	Zungengrund o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.0	Dorsale Oberfläche der Zunge	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.1	Zungenrand	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.2	Ventrale Oberfläche der Zunge o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.3	Vordere 2/3 der Zunge	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.4	Zungentonsille	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.8	Zunge, mehrere Bereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C02\.9	Zunge o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C03\.0	Oberkieferzahnfleisch	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C03\.1	Unterkieferzahnfleisch	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C03\.9	Zahnfleisch o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C04\.0	Vorderer Teil des Mundbodens	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C04\.1	Seitlicher Teil des Mundbodens	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C04\.8	Mundboden, mehrere Teilbereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C04\.9	Mundboden o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C05\.0	Harter Gaumen	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C05\.1	Weicher Gaumen o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C05\.2	Uvula	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C05\.8	Gaumen, mehrere Teilbereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C05\.9	Gaumen o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C06\.0	Wangenschleimhaut	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C06\.1	Vestibulum oris	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C06\.2	Retromolarregion	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C06\.8	Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C06\.9	Mund o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C07\.9	Parotis	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C08\.0	Glandula submandibularis	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C08\.1	Glandula sublingualis	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C08\.8	Große Speicheldrüsen, mehrere Bereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C08\.9	Große Speicheldrüsen o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C09\.0	Fossa tonsillaris	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C09\.1	Gaumenbogen	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C09\.8	Tonsille, mehrere Teilbereiche überlappend	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C09\.9	Tonsille o.n.A.	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C10\.0	Vallecula epiglottica	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C10\.1	Vorderfläche der Epiglottis	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C10\.2	Seitenwand des Oropharynx	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
ICD-O-3.2 2019	C10\.3	Hinterwand des Oropharynx	8010-8576	/2	1	D00.0	Carcinoma in situ: Lippe, Mundhöhle und Pharynx
