Version	Topographie	Topographie Text	Morphologiecodes	Dignität	Default	ICD10	ICD-10 Text
ICD-O-3.2 2019	C06\.0	Wangenschleimhaut	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C06.0	Bösartige Neubildung: Wangenschleimhaut
ICD-O-3.2 2019	C06\.1	Vestibulum oris	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C06.1	Bösartige Neubildung: Vestibulum oris
ICD-O-3.2 2019	C06\.2	Retromolarregion	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C06.2	Bösartige Neubildung: Retromolarregion
ICD-O-3.2 2019	C06\.8	Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C06.8	Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C06\.9	Mund o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C06.9	Bösartige Neubildung: Mund, nicht näher bezeichnet
ICD-O-3.2 2019	C07\.9	Parotis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C07	Bösartige Neubildung der Parotis
ICD-O-3.2 2019	C08\.0	Glandula submandibularis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C08.0	Bösartige Neubildung: Glandula submandibularis
ICD-O-3.2 2019	C08\.1	Glandula sublingualis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C08.1	Bösartige Neubildung: Glandula sublingualis
ICD-O-3.2 2019	C08\.8	Große Speicheldrüsen, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C08.8	Bösartige Neubildung: Große Speicheldrüsen, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C08\.9	Große Speicheldrüsen o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C08.9	Bösartige Neubildung: Große Speicheldrüse, nicht näher bezeichnet
ICD-O-3.2 2019	C09\.0	Fossa tonsillaris	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C09.0	Bösartige Neubildung: Fossa tonsillaris
ICD-O-3.2 2019	C09\.1	Gaumenbogen	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C09.1	Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer)
ICD-O-3.2 2019	C09\.8	Tonsille, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C09.8	Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C09\.9	Tonsille o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C09.9	Bösartige Neubildung: Tonsille, nicht näher bezeichnet
ICD-O-3.2 2019	C10\.0	Vallecula epiglottica	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.0	Bösartige Neubildung: Vallecula epiglottica
ICD-O-3.2 2019	C10\.1	Vorderfläche der Epiglottis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.1	Bösartige Neubildung: Vorderfläche der Epiglottis
ICD-O-3.2 2019	C10\.2	Seitenwand des Oropharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.2	Bösartige Neubildung: Seitenwand des Oropharynx
ICD-O-3.2 2019	C10\.3	Hinterwand des Oropharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.3	Bösartige Neubildung: Hinterwand des Oropharynx
ICD-O-3.2 2019	C10\.4	Kiemengang	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.4	Bösartige Neubildung: Kiemengang
ICD-O-3.2 2019	C10\.8	Oropharynx, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.8	Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C10\.9	Oropharynx o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C10.9	Bösartige Neubildung: Oropharynx, nicht näher bezeichnet
ICD-O-3.2 2019	C11\.0	Obere Wand des Nasopharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.0	Bösartige Neubildung: Obere Wand des Nasopharynx
ICD-O-3.2 2019	C11\.1	Hinterwand des Nasopharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.1	Bösartige Neubildung: Hinterwand des Nasopharynx
ICD-O-3.2 2019	C11\.2	Seitenwand des Nasopharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.2	Bösartige Neubildung: Seitenwand des Nasopharynx
ICD-O-3.2 2019	C11\.3	Vorderwand des Nasopharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.3	Bösartige Neubildung: Vorderwand des Nasopharynx
ICD-O-3.2 2019	C11\.8	Nasopharynx, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.8	Bösartige Neubildung: Nasopharynx, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C11\.9	Nasopharynx o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C11.9	Bösartige Neubildung: Nasopharynx, nicht näher bezeichnet
ICD-O-3.2 2019	C12\.9	Sinus piriformis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C12	Bösartige Neubildung des Recessus piriformis
ICD-O-3.2 2019	C13\.0	Regio postcricoidea	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C13.0	Bösartige Neubildung: Regio postcricoidea
ICD-O-3.2 2019	C13\.1	Plica aryepiglottica, hypopharyngeale Seite	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C13.1	Bösartige Neubildung: Aryepiglottische Falte, hypopharyngeale Seite
ICD-O-3.2 2019	C13\.2	Hinterwand des Hypopharynx	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C13.2	Bösartige Neubildung: Hinterwand des Hypopharynx
ICD-O-3.2 2019	C13\.8	Hypopharynx, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C13.8	Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C13\.9	Hypopharynx o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C13.9	Bösartige Neubildung: Hypopharynx, nicht näher bezeichnet
ICD-O-3.2 2019	C14\.0	Pharynx o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C14.0	Bösartige Neubildung: Pharynx, nicht näher bezeichnet
